id,gender,age,school,educ,asvabc,height85,weight85,weight94,ethnic,faith,marital,sch_moth,sch_fath,siblings,library,pov78,exp,earnings,hours,lnexp,lnearn,lnage,expshare
1436,female,40,11,high school drop-out,33.91051,66,139,118,black,other,divorced,11,4,6,no,yes,0.8269231,5.15,20,-0.19004361,1.6389967,3.6888795,2.0673077
4643,male,39,14,associate degree,42.90696,68,154,196,white,protestant,married,12,14,2,no,yes,0.8846154,25.09,32,-0.122602284,3.2224693,3.6635616,2.2682447
12066,female,42,14,high school drop-out,47.5415,67,165,190,white,protestant,married,12,12,5,yes,yes,1.153846,6,32,0.14310074,1.7917595,3.7376697,2.7472525
4907,male,42,20,professional,61.44509,72,185,210,white,other,married,12,14,1,yes,no,1.307692,127.9,10,0.2682638,4.8512487,3.7376697,3.1135526
4557,female,38,12,high school dip,33.09266,64,138,148,white,catholic,divorced,9,7,3,yes,yes,1.769231,9.75,40,0.57054496,2.2772672,3.637586,4.655871
3168,male,44,19,no quals,64.44391,71,168,180,white,catholic,married,14,16,3,yes,no,1.788462,37.11,43,0.58135605,3.6138866,3.7841897,4.0646863
2443,male,39,14,associate degree,54.35698,69,175,180,white,catholic,divorced,11,11,2,yes,no,1.923077,8,60,0.6539265,2.0794415,3.6635616,4.930967
2002,female,41,12,high school drop-out,49.17721,63,145,135,white,protestant,divorced,12,12,6,yes,yes,1.980769,8.25,40,0.68348515,2.1102133,3.713572,4.831144
5464,female,38,13,associate degree,36.90933,63,129,178,black,other,married,12,10,2,no,yes,2.038461,5.4,39,0.7121951,1.686399,3.637586,5.364371
2420,female,37,10,high school drop-out,42.0891,62,170,210,white,protestant,married,13,8,2,yes,no,2.076923,6.25,18,0.7308874,1.8325815,3.6109178,5.613305
379,female,38,8,high school drop-out,30.36646,61,108,147,black,protestant,divorced,9,12,5,yes,yes,2.096154,5,15,0.7401042,1.609438,3.637586,5.516195
3532,female,42,12,high school dip,54.08437,67,128,150,white,catholic,married,12,8,2,no,yes,2.134615,14.5,20,0.7582863,2.6741486,3.7376697,5.0824165
5674,female,38,13,high school dip,47.81411,71,150,188,white,none,divorced,12,12,3,yes,no,2.173077,18.04,60,0.7761442,2.8925915,3.637586,5.718624
4906,female,38,12,high school dip,35.81885,71,180,200,white,other,married,7,3,8,no,yes,2.173077,4.87,15,0.7761442,1.5830939,3.637586,5.718624
2262,female,44,12,high school dip,36.63671,64,110,135,black,protestant,divorced,8,5,10,no,yes,2.346154,6,40,0.85277736,1.7917595,3.7841897,5.332168
2131,female,44,10,high school drop-out,40.45338,70,140,165,white,protestant,married,8,8,3,no,no,2.557692,18,24,0.93910533,2.8903718,3.7841897,5.8129363
496,female,39,12,high school dip,63.89867,68,150,195,white,catholic,single,12,12,6,yes,no,2.596154,11.89,38,0.9540311,2.4756978,3.6635616,6.656805
3704,female,42,12,high school drop-out,35.001,63,120,120,black,protestant,single,11,6,4,no,yes,3.019231,9,40,1.1050022,2.1972246,3.7376697,7.1886454
2614,male,42,12,high school dip,45.36054,68,163,170,white,protestant,married,9,12,3,no,no,3.019231,17.3,40,1.1050022,2.8507063,3.7376697,7.1886454
4863,female,42,12,high school dip,42.0891,61,140,149,white,catholic,married,10,11,7,yes,no,3.192308,7,32,1.1607442,1.9459101,3.7376697,7.6007333
1878,female,43,12,high school dip,49.99507,67,132,170,white,catholic,married,12,12,4,yes,no,3.326923,6.25,25,1.2020478,1.8325815,3.7612002,7.73703
833,male,37,13,high school dip,32.00218,70,145,205,black,protestant,married,12,12,8,yes,no,3.673077,12.5,40,1.3010298,2.5257287,3.6109178,9.927236
5207,male,43,14,high school dip,58.7189,75,295,245,white,protestant,single,9,12,3,yes,no,3.711539,5.5,58,1.3114467,1.704748,3.7612002,8.631486
3365,female,38,14,associate degree,43.72482,68,137,150,white,catholic,married,12,14,4,no,no,3.788461,8.75,38,1.3319598,2.1690538,3.637586,9.969634
4107,female,40,19,masters,64.98915,61,105,140,white,none,divorced,16,17,1,yes,no,3.923077,18,45,1.3668764,2.8903718,3.6888795,9.807693
3977,female,40,12,high school dip,41.54387,66,143,162,black,protestant,single,5,7,5,yes,no,3.961539,6.5,20,1.3766326,1.8718022,3.6888795,9.903848
11952,male,39,9,high school drop-out,31.18432,73,180,238,black,other,divorced,9,7,3,no,yes,4.019231,7.35,40,1.3910905,1.9947003,3.6635616,10.30572
5687,female,39,12,high school dip,45.08792,65,154,214,white,catholic,married,8,8,9,no,yes,4.134615,9,20,1.4193943,2.1972246,3.6635616,10.601577
3639,male,39,9,high school drop-out,29.27598,68,176,175,white,protestant,married,9,10,3,yes,no,4.269231,12.5,40,1.4514337,2.5257287,3.6635616,10.946746
1110,female,39,12,high school dip,48.63197,64,103,106,white,protestant,married,10,12,5,yes,no,4.269231,7,40,1.4514337,1.9459101,3.6635616,10.946746
